(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   104.000 )
(Flux     78.34555050 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   39.172775     )
(Count rate * VLE rate per PCU   3391.5210     )
        0.06250000        2.14996386        0.21082130
        0.12500000        2.07785654        0.20375060
        0.18750000        2.03459072        0.19950804
        0.25000000        2.13944006        0.20978935
        0.31250000        2.25018144        0.22064844
        0.37500000        2.12248778        0.20812705
        0.43750000        1.76842892        0.17340873
        0.50000000        1.91238725        0.18752500
        0.56250000        2.14345956        0.21018352
        0.62500000        2.07722330        0.20368852
        0.68750000        2.03716564        0.19976053
        0.75000000        1.65942371        0.16271989
        0.81250000        1.78551102        0.17508377
        0.87500000        1.87124801        0.18349096
        0.93750000        2.12643027        0.20851365
        1.00000000        2.10846543        0.20675205
        1.06250000        1.81398797        0.17787616
        1.12500000        1.84560633        0.18097660
        1.18750000        1.96010137        0.19220376
        1.25000000        1.72178841        0.16883524
        1.31250000        1.98538482        0.19468300
        1.37500000        1.93598878        0.18983933
        1.43750000        1.87741494        0.18409568
        1.50000000        2.25832033        0.22144653
        1.56250000        1.80813968        0.17730269
        1.62500000        1.94590020        0.19081122
        1.68750000        1.93206382        0.18945445
        1.75000000        2.04285026        0.20031795
        1.81250000        1.84015870        0.18044241
        1.87500000        2.15924621        0.21173151
        1.93750000        2.55881143        0.25091210
        2.00000000        2.04757094        0.20078085
        2.06250000        2.06237316        0.20223233
        2.12500000        2.38202977        0.23357724
        2.18750000        1.95833230        0.19203028
        2.25000000        1.97834969        0.19399315
        2.31250000        2.22418833        0.21809961
        2.37500000        1.73543060        0.17017296
        2.43750000        1.72108507        0.16876628
        2.50000000        2.36474633        0.23188247
        2.56250000        2.22059178        0.21774694
        2.62500000        1.78045905        0.17458837
        2.68750000        1.80570662        0.17706411
        2.75000000        2.29451728        0.22499593
        2.81250000        2.09200668        0.20513813
        2.87500000        2.01217723        0.19731021
        2.93750000        2.07580543        0.20354947
        3.00000000        1.79409325        0.17592531
        3.06250000        1.84009123        0.18043579
        3.12500000        2.03114271        0.19916993
        3.18750000        2.01817870        0.19789870
        3.25000000        2.09660697        0.20558922
        3.31250000        1.92512465        0.18877400
        3.37500000        1.72100091        0.16875802
        3.43750000        1.85028410        0.18143529
        3.50000000        2.14574742        0.21040784
        3.56250000        1.99944448        0.19606167
        3.62500000        2.21777487        0.21747072
        3.68750000        2.14490151        0.21032490
        3.75000000        1.80695844        0.17718686
        3.81250000        1.77106309        0.17366703
        3.87500000        2.02236152        0.19830887
        3.93750000        1.94065499        0.19029687
        4.00000000        2.04790211        0.20081332
        4.06250000        1.82770932        0.17922164
        4.12500000        1.84232855        0.18065518
        4.18750000        1.93662775        0.18990198
        4.25000000        1.89542258        0.18586148
        4.31250000        2.21358109        0.21705948
        4.37500000        1.72177339        0.16883376
        4.43750000        2.45437217        0.24067099
        4.50000000        1.82967627        0.17941451
        4.56250000        1.97384918        0.19355184
        4.62500000        1.98844421        0.19498301
