(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   109.000 )
(Flux   1438.32458000 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   719.16229     )
(Count rate * VLE rate per PCU   62210.086     )
        0.06250000       10.73212430        1.02795112
        0.12500000        7.31070328        0.70023835
        0.18750000        4.55232668        0.43603382
        0.25000000        5.52247906        0.52895761
        0.31250000        3.97748637        0.38097408
        0.37500000        4.23489428        0.40562934
        0.43750000        3.84132481        0.36793220
        0.50000000        3.49423742        0.33468726
        0.56250000        2.81037855        0.26918545
        0.62500000        3.21713066        0.30814523
        0.68750000        3.30410981        0.31647632
        0.75000000        3.15521336        0.30221462
        0.81250000        3.38442802        0.32416940
        0.87500000        2.79821944        0.26802081
        0.93750000        3.28884363        0.31501409
        1.00000000        2.87431717        0.27530965
        1.06250000        3.17382264        0.30399707
        1.12500000        2.31147552        0.22139920
        1.18750000        2.84331274        0.27233997
        1.25000000        2.61072922        0.25006250
        1.31250000        2.47670889        0.23722570
        1.37500000        2.32902336        0.22307998
        1.43750000        2.58541560        0.24763790
        1.50000000        2.97199297        0.28466532
        1.56250000        2.06900549        0.19817479
        1.62500000        2.39875817        0.22975938
        1.68750000        2.26244020        0.21670248
        1.75000000        2.60626674        0.24963509
        1.81250000        2.42490649        0.23226391
        1.87500000        2.06890655        0.19816531
        1.93750000        2.24084496        0.21463403
        2.00000000        2.53893900        0.24318625
        2.06250000        2.29731488        0.22004287
        2.12500000        1.85938048        0.17809635
        2.18750000        2.35341668        0.22541645
        2.25000000        2.60469508        0.24948454
        2.31250000        2.31802344        0.22202639
        2.37500000        1.90753877        0.18270907
        2.43750000        2.47716856        0.23726973
        2.50000000        2.17840576        0.20865344
        2.56250000        2.31108952        0.22136223
        2.62500000        2.34256196        0.22437675
        2.68750000        2.39661670        0.22955425
        2.75000000        1.88824058        0.18086064
        2.81250000        2.24154186        0.21470077
        2.87500000        2.49437690        0.23891798
        2.93750000        2.29821444        0.22012903
        3.00000000        2.00423169        0.19197059
        3.06250000        2.54390836        0.24366222
        3.12500000        2.60365176        0.24938461
        3.18750000        2.39815259        0.22970137
        3.25000000        2.09230590        0.20040655
        3.31250000        2.47333837        0.23690285
        3.37500000        2.21620917        0.21227434
        3.43750000        2.02354836        0.19382077
        3.50000000        2.33873534        0.22401023
        3.56250000        2.20278263        0.21098831
        3.62500000        2.21058655        0.21173579
        3.68750000        2.23176694        0.21376450
        3.75000000        2.24904370        0.21541931
        3.81250000        1.96899796        0.18859580
        3.87500000        2.21912718        0.21255383
        3.93750000        2.07887602        0.19912021
        4.00000000        1.99938083        0.19150595
        4.06250000        2.21141005        0.21181467
        4.12500000        2.28271508        0.21864446
        4.18750000        2.33998704        0.22413011
        4.25000000        1.66038978        0.15903650
        4.31250000        2.37853813        0.22782265
        4.37500000        2.29933310        0.22023617
        4.43750000        2.20450139        0.21115294
        4.50000000        1.91995549        0.18389839
        4.56250000        1.90874910        0.18282500
        4.62500000        2.10002255        0.20114568
